GEO_ID,county,ln_hh_inc_x,eqi_2jan2018_vc,Total,population.x,superfund,insecticide_ln_x,gini_est_x,std_coal_prim_pop_ln_y,hc_env_rate_ln_x,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population.y
0500000US12069,"Lake County, FL",11.674568,-0.507552743,16530,1457455,TRUE,9.333723255,0.431,-14.28535668,-5.351737022,Lake,Lake County,12069,FL,Florida,28.7615,-81.7113,345867
0500000US17097,"Lake County, IL",12.385247,1.346385837,19841,3484759,TRUE,7.188494556,0.468,-14.28535668,-5.408928871,Lake,Lake County,17097,IL,Illinois,42.3233,-88.0037,701473
0500000US18089,"Lake County, IN",12.116979,0.898872912,23125,2472108,TRUE,8.406380804,0.43,-14.28535668,-5.422684669,Lake,Lake County,18089,IN,Indiana,41.4171,-87.3822,485707
0500000US26085,"Lake County, MI",8.3133621,-1.273330688,714,58160,TRUE,6.017761563,0.433,-14.28535668,-6.217993736,Lake,Lake County,26085,MI,Michigan,43.9901,-85.8016,11852
0500000US39085,"Lake County, OH",11.453292,1.163723588,11039,1147032,TRUE,6.81600542,0.405,-14.28535668,-5.593742371,Lake,Lake County,39085,OH,Ohio,41.6966,-81.2373,229954
0500000US41037,"Lake County, OR",8.1496019,-0.927518129,466,39433,TRUE,8.948962621,0.454,-14.28535668,-5.978252888,Lake,Lake County,41037,OR,Oregon,42.7935,-120.3874,7837
0500000US28073,"Lamar County, MS",9.9205904,0.157454252,1724,262397,TRUE,6.777732011,0.487,-14.28535668,-5.556343079,Lamar,Lamar County,28073,MS,Mississippi,31.206,-89.5087,61969
0500000US31109,"Lancaster County, NE",11.625656,-0.381946325,8879,1396407,TRUE,8.838422461,0.434,-14.28535668,-5.56316185,Lancaster,Lancaster County,31109,NE,Nebraska,40.7842,-96.6878,313158
0500000US42071,"Lancaster County, PA",12.162507,1.23484838,22236,2555540,TRUE,10.14598592,0.415,-14.28535668,-5.610381126,Lancaster,Lancaster County,42071,PA,Pennsylvania,40.0424,-76.2477,540999
0500000US41039,"Lane County, OR",11.876832,-0.638663709,15359,1735511,TRUE,8.086712794,0.454,-14.28535668,-5.452700138,Lane,Lane County,41039,OR,Oregon,43.9388,-122.8475,373340
0500000US26087,"Lapeer County, MI",10.402352,0.721988142,3526,449828,TRUE,8.644292694,0.413,-14.28535668,-5.851376057,Lapeer,Lapeer County,26087,MI,Michigan,43.0901,-83.2218,88038
0500000US56021,"Laramie County, WY",10.485424,-0.495610029,3642,445718,TRUE,8.832107332,0.415,-14.28535668,-5.437730789,Laramie,Laramie County,56021,WY,Wyoming,41.307,-104.6895,98320
